brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45490,60371,24,4.3,207,16
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,44490,57479,22,4.3,844,103
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,Yes,41890,57990,27,4.2,53,6
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,42990,43126,0,4.1,62,7
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.1,724,92
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43590,59781,27,0,0,0
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44690,60122,25,4.3,9,0
ASUS,ExpertBook,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,40990,51990,21,0,0,0
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43990,56743,22,0,0,0
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43590,57863,24,0,0,0
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,41390,51976,20,4.2,56,7
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44290,57858,23,0,0,0
DELL,Inspiron,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,No,48999,57095,14,0,0,0
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,39990,45810,12,3.9,170,11
HP,Pavilion,Intel,Core i5,8th,8 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,76012,0,0,4.3,129,16
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,48990,58990,16,0,0,0
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,55990,71578,21,3.3,3,0
HP,Spectre,Intel,Core i5,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,136590,151133,9,0,0,0
ASUS,VivoBook14,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,No,49800,66990,25,0,0,0
HP,Pavilion,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,67990,78294,13,4.5,108,6
ASUS,TUF,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,No,57990,81990,29,4.5,3712,412
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,32-bit,0,Casual,14,1,Yes,Yes,63990,82990,22,4.6,10,1
ASUS,ASUS,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,17.3,0,No,No,71990,115990,37,4.4,91,17
ASUS,VivoBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,47990,62990,23,4,35,2
ASUS,ASUS,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,17.3,0,No,No,72990,105990,31,4.5,74,10
MSI,Katana,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,2,No,No,76990,106990,28,4.6,75,17
ASUS,TUF,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Gaming,15.6,1,No,Yes,89990,129990,30,4.6,124,17
